Paper,ResearchersIDs
Paper_1975_128,57202493354
Paper_1975_128,22993564900
Paper_1975_129,7006898779
Paper_1975_129,7004544059
Paper_1975_129,57197337418
Paper_1975_13,57195025739
Paper_1975_13,7005640584
Paper_1975_13,7801563616
Paper_1975_132,24567203300
Paper_1975_132,7003946517
Paper_1975_132,55122139600
Paper_1975_20,16521796000
Paper_1975_20,57202493227
Paper_1975_20,35948676000
Paper_1975_24,7005949961
Paper_1975_24,56231733000
Paper_1975_24,16512680600
Paper_1975_25,57203798384
Paper_1975_25,7003946517
Paper_1975_25,57081373600
Paper_1975_28,6602151695
Paper_1975_28,55424548800
Paper_1975_28,6506840533
Paper_1975_32,7402896037
Paper_1975_32,57190360391
Paper_1975_32,57206260226
Paper_1975_4,16524998300
Paper_1975_4,55400011000
Paper_1975_4,56330486000
Paper_1975_40,55407657700
Paper_1975_40,7003946517
Paper_1975_40,55667221500
Paper_1975_42,7202086785
Paper_1975_42,7004485735
Paper_1975_42,22977951000
Paper_1975_72,55188065300
Paper_1975_72,24564495600
Paper_1975_72,7102588365
Paper_1975_73,7102951144
Paper_1975_73,6603332412
Paper_1975_73,57192732040
Paper_1975_74,7102951144
Paper_1975_74,57105297000
Paper_1975_74,6603332412
Paper_1975_84,55741986900
Paper_1975_84,7003946517
Paper_1975_84,6603233179
Paper_1975_92,7004525101
Paper_1975_92,56231888400
Paper_1975_92,55812831000
Paper_1975_93,24557530300
Paper_1975_93,6507876301
Paper_1975_93,6602682807
Paper_1976_10,7004039867
Paper_1976_10,6506878650
Paper_1976_10,7409799886
Paper_1976_100,7003480955
Paper_1976_100,7201417203
Paper_1976_100,6603495078
Paper_1976_105,7409555051
Paper_1976_105,6601913208
Paper_1976_105,6507571059
Paper_1976_106,7003395880
Paper_1976_106,20734343700
Paper_1976_106,7003759993
Paper_1976_108,56264278400
Paper_1976_108,7409720170
Paper_1976_108,7403692918
Paper_1976_12,6603314462
Paper_1976_12,7103287077
Paper_1976_12,7003389900
Paper_1976_121,7004966946
Paper_1976_121,6603119343
Paper_1976_121,6508014717
Paper_1976_122,6701317771
Paper_1976_122,24557530300
Paper_1976_122,57188771034
Paper_1976_128,7004779156
Paper_1976_128,55450433100
Paper_1976_128,57195025739
Paper_1976_132,7101632542
Paper_1976_132,24560422900
Paper_1976_132,56330588100
Paper_1976_140,57189414277
Paper_1976_140,57189416544
Paper_1976_140,7004224736
Paper_1976_143,24496975900
Paper_1976_143,7404219932
Paper_1976_143,56250856100
Paper_1976_19,6701317771
Paper_1976_19,24557530300
Paper_1976_19,57188771034
Paper_1976_24,7006533923
Paper_1976_24,6506486918
Paper_1976_24,7004966946
Paper_1976_28,6504003172
Paper_1976_28,35517366200
Paper_1976_28,6603322912
Paper_1976_3,22996333300
Paper_1976_3,16430937700
Paper_1976_3,22997434900
Paper_1976_30,57206155784
Paper_1976_30,16502143000
Paper_1976_30,16511325400
Paper_1976_32,16545080400
